recipe,type
"2 tbsp olive oil 2 onions, finely chopped 2 garlic cloves, finely chopped  2 green jalapeño chillies, finely chopped  1 thick slice stale bread, crusts removed and finely chopped 1 pinch cayenne pepper 100g/3½ oz roasted and skinned hazelnuts  1 litre/1¾ pints chicken stock 500g/1lb2oz spinach  250g/9oz watercress  salt and freshly ground black pepper 1 soft tortilla, cut into strips  2 tbsp olive oil 2 baby corn, thinly sliced  1 avocado, peeled , stoned and thinly sliced 1 jalapeño chilli, thinly sliced  1 lime, juice only 1 spring onion, thinly sliced 50g/2oz crumbled cheddar or feta  1 tbsp soured cream  ",mexican
"8 ripe tomatoes, seeded and diced 1 clove of garlic, peeled and crushed  1 small onion, peeled and finely chopped ¼ fresh green chilli, de-seeded and finely chopped 1 tbsp fresh coriander, finely chopped 2 ripe avocados, peeled and stoned 1 lime, juice only 1 clove of garlic, peeled and crushed 1 small onion, peeled and finely chopped 3 small tomatoes, seeded and chopped ¼ fresh green chilli, de-seeded and finely chopped 1 tbsp fresh coriander, finely chopped 1 courgette, cut into four slices lengthways 1 red pepper, seeded and cut into quarters, lengthways 1 yellow pepper, seeded and cut into quarters, lengthways 1 packet flour tortillas coriander leaves, to garnish 1 lime, cut into four wedges to garnish ",mexican
"3 ripe avocadoes, roughly chopped ½ red onion, finely chopped handful coriander, finely chopped 1 lime, juice only  1 red chilli, finely chopped (optional) ",mexican
"4 tbsp cider vinegar 2 tbsp caster sugar ½ tsp fine sea salt 1 red onion, thinly sliced 250g/9oz plain flour, plus extra for kneading and rolling ½ heaped tsp fine sea salt 1 tbsp olive oil 2 tbsp rapeseed oil 1 red onion, finely chopped 1 red pepper, seeds removed, diced 1 green pepper, seeds removed, diced 4 garlic cloves, crushed 2 tsp paprika 2 tsp ground cumin pinch dried chilli flakes 1½ tbsp dried oregano 500g/1lb 2oz minced beef 500ml/18fl oz beef stock 4 large tomatoes, diced	 ½ red onion, finely chopped 1 green chilli, preferable jalapeño or serrano, finely chopped 1 garlic clove, finely grated 2 tbsp lime juice ½ small bunch fresh coriander, finely chopped ½ tsp fine sea salt freshly ground black pepper 2 x 400g/14oz cans black beans, drained and rinsed 2 tbsp olive oil 1 small red onion, finely chopped 2 garlic cloves, crushed 1 tbsp smoked paprika 1 tbsp ground cumin ½ tsp hot chilli powder 2 tbsp lime juice 1 tbsp runny honey 1 tsp flaked sea salt, plus extra to taste 2 ripe avocados, halved, stoned, peeled and roughly mashed or chopped 1 tomato, finely diced ½ red onion, finely chopped 1 green chilli, preferable jalapeño, finely chopped ½ small bunch fresh coriander, finely chopped 1 lime, juice only pinch salt pinch dried chilli flakes (optional) ",mexican
"1 vanilla pod, split and seeds scraped out 1 cinnamon stick 1 litre/1¾ pints milk 150g/5½oz plain chocolate, chopped into small pieces sugar, to taste freshly grated nutmeg, for dusting ",mexican
"15 chile de arbol peppers, washed, stems and seeds removed 4 guajillo chillies, washed, stems and seeds removed  3 garlic cloves 2 tomatoes, quartered 80ml/1¾oz cider vinegar ½ tsp ground cumin 4 allspice berries, ground (or a good pinch ground allspice) 1 tsp dried oregano 1 tsp salt 1 tbsp light brown sugar ",mexican
"150g/5½oz cauliflower 1 tsp olive oil salt and freshly ground black pepper 1 tsp rapeseed oil ½ medium onion (60g/2¼oz peeled weight), finely chopped 1 garlic clove, crushed 75g/2½oz 5% fat beef mince 200g/7oz tinned chopped tomatoes 1 level tbsp tomato purée pinch chilli powder  25g/1oz drained and rinsed tinned red kidney beans ",mexican
"2 garlic cloves, finely chopped olive oil, for frying 1 tsp ground cinnamon  1 tsp ground cumin  1 tsp chipotle paste or 1 red chilli, finely chopped 2 x 400g tins black beans sea salt and freshly ground black pepper 20 cherry tomatoes ½ red chilli, deseeded and finely chopped  few sprigs fresh coriander, leaves picked ½ lime, juice only  extra virgin olive oil, to taste  1 ripe avocado, stone removed and peeled  1 green chilli ½ lime, juice only  8 wheat or corn tortillas  4 free-range eggs, fried handful of grated cheese, such as manchego or queso fresco bunch breakfast radishes, cleaned and chopped natural, sheep or coconut milk yoghurt (optional) a few coriander sprigs sweet chilli sauce ",mexican
"4 beef ribs, flanken cut to 1cm/½in thickness 1 bunch of coriander, stalks and leaves finely chopped 4 limes, juice only 2 banana shallots, chopped 4 tbsp olive oil 1–2 tsp ground cumin ½ tsp ground coriander 3 garlic cloves, chopped 1 jalapeño chilli, chopped  2 corn on the cobs, husks removed 4 tomatillos (or green tomatoes), finely chopped 1 garlic clove, finely chopped 2 tbsp finely chopped coriander 2 tbsp white wine vinegar pinch sugar pinch salt 1 ripe avocado, flesh chopped ½ green chilli, finely chopped ½ red onion, very finely chopped lime juice, to taste 2 tbsp chopped coriander 6 corn tortillas 2 tbsp vegetable oil ",mexican
"150g/5½oz lamb neck fillet, sliced ½ romero pepper, sliced 1 clove garlic, sliced 1 tsp chilli flakes 1 tsp ground coriander 100ml/3½fl oz vegetable stock 1 tsp Tabasco sauce 2 tbsp of butter  3 tbsp brown sugar 1 packet of baby leeks 1 tbsp red wine vinegar 25g/1oz dark chocolate, grated 3 tbsp Greek yoghurt ",mexican
"110ml/4fl oz sherry vinegar 150g/5½oz prunes 110ml/4fl oz sherry 30g/1¼oz panko breadcrumbs 1 bunch fresh flatleaf parsley 1 tbsp grated lemon zest salt, to taste 1 garlic clove, crushed 3 tbsp rapeseed oil 1 onion, roughly chopped 2 carrots, roughly chopped 2 sticks celery, roughly chopped 1 leek, roughly chopped 4 garlic cloves 1 tbsp chopped fresh thyme 375ml/13fl oz white wine 50ml/2fl oz Madeira 2 litres/3½ pints chicken stock 3 cardamom pods 2 star anise ½ orange, zest only 2 apples, cored and blended to a purée 500ml/18fl oz tomato juice 700g/1lb 9oz pork shoulder 300g/11oz pork belly 2 green chillies, finely chopped 1 bunch coriander, chopped 2 banana shallots, finely chopped malt vinegar, to taste salt and freshly ground black pepper 2–3 free-range eggs, whites only, lightly beaten 110g/4oz panko breadcrumbs 2–3 tbsp olive oil 2–3 tbsp English mustard ¼ head of cauliflower, grated 1 tbsp sesame seeds, toasted salt, to taste ½ head cauliflower, cut into florets 250ml/9fl oz milk salt, to taste 150ml/5fl oz double cream 1 tsp lemon juice 2–3 tbsp baby cress or herbs, such as parsley or coriander pork scratchings ",mexican
"50ml/2fl oz fresh orange juice or 1 medium orange, juice only 50ml/2fl oz fresh lime juice or 1  lime, juice only 1 red onion, halved and very thinly sliced  1 habanero chilli, deseeded and finely chopped 1½  tsp dried Mexican oregano or 1 tsp oregano 1 tsp salt 1 tsp ground coriander 1 tsp ground cumin 2 tsp black peppercorns  4 allspice berries 2 tbsp annatto seeds 4 cloves 5 garlic cloves, crushed pinch chipotle powder 2 tsp dried oregano 50ml/2fl oz fresh orange juice or 1 medium orange, juice only 50ml/2fl oz cider vinegar 1 tsp olive oil  600g/1lb 5oz white fish fillets, such as cod, hake or bass 4 banana leaves (optional) sea salt 1 small red onion, finely chopped 2 green chillies, finely chopped 1 tbsp finely chopped piquillo or roasted red peppers 3 tbsp olive oil 1 lime, juice only cayenne pepper salt and freshly ground black pepper 2 large sweet potatoes, peeled and thinly sliced  2 corn tortillas, cut into 1cm/½in wide strips 2 tbsp olive oil  1 yellow pepper, finely chopped 2 avocadoes peeled, stoned and sliced 100g/3½oz cherry tomatoes, halved  70g/3oz feta or goats' cheese, crumbled  1 bunch watercress 1 tbsp chopped coriander 1 tbsp chopped mint ",mexican
"2 whole bass, each about 350g/12oz, gutted and butterflied  large handful coriander large handful chives 2 garlic cloves, roughly chopped 100ml/3½fl oz olive oil ¼ tsp salt ½ lime, juice only 1 green serrano chilli, roughly chopped 3 dried guajillo chillies, stems and seeds removed 2 ancho chillies, stems and seeds removed 1 medium tomato 1 tbsp olive oil ½ small onion, roughly chopped 2 garlic cloves, roughly chopped ½ tsp dried oregano ½ tsp ground cumin ½ tsp salt 35g/1¼oz lard 1 medium onion, finely chopped 2 garlic cloves, finely chopped 1 green jalapeño or serrano chilli, finely chopped 600g/1lb 5oz cooked black or pinto beans ½ tsp dried epazote (optional) or oregano ½ tsp salt 1 tbsp soured cream 1 tbsp mayonnaise 1 tbsp salsa verde (reserved from above) ½ lime, juice only ",mexican
"2 small ripe avocados, peeled, stones removed 1 garlic clove, peeled and finely chopped ½ small onion, peeled and finely chopped 1 small red chilli, seeds removed, finely chopped 1 lime, juice only salt and freshly ground black pepper 2 medium ripe tomatoes, chopped ½ onion, peeled and finely chopped small handful fresh coriander, chopped 2 tbsp vegetable oil (or 40g/1½oz lard) 1 small onion, peeled and finely chopped 350g/12oz rump steak, chopped  1 garlic clove, peeled and finely chopped ½ red or green chilli, seeds removed, finely chopped dash Worcestershire sauce dash Tabasco sauce pinch cayenne pepper small handful fresh coriander, chopped 2 ready-made soft flour tortillas, warmed briefly in a hot dry pan 1 Little Gem lettuce, finely sliced 100g/3½oz rice, cooked according to packet instructions and drained 75g/2½oz cheddar cheese, grated 100ml/3½fl oz soured cream ",mexican
"1 tbsp olive oil 2 large onions, chopped 500g/1lb 2oz beef mince 1 mild red chilli, deseeded and finely chopped 1 red pepper, deseeded and diced 2 garlic cloves, crushed 1 tbsp ground cumin 1 tbsp ground coriander 2 tbsp tomato purée 1–2 tbsp mango chutney 2 x 400g tins chopped tomatoes 1 small bunch fresh coriander, chopped salt and freshly ground black pepper 3 large tortilla wraps  250g/9oz full-fat mascarpone 100g/3½oz mozzarella, grated 100g/3½oz cheddar ",mexican
1 medium onion 1 garlic clove 100g/3½oz mushrooms (optional) 1 x 400g/14oz can chopped tomatoes 1 x 400g/14oz can red kidney beans 200g/7oz minced beef 1 beef stock cube 1 tsp chilli powder OR ¾ tsp spoon chilli flakes black pepper (optional) 1 mug long grain or basmati rice (about 250–300g/9-10½oz) ,mexican
"1 tbsp olive oil  1 onion, finely chopped 250g/9oz beef mince 1 tsp hot smoked paprika  1 tsp ground cumin ½ tsp chilli powder ½ 400g tin black beans, drained 200g/7oz lightly salted corn tortilla chips 150g/5½oz cheddar, grated 100g/3½oz cherry tomatoes, quartered  salt and freshly ground black pepper  4 spring onions, finely chopped  coriander (optional) sliced chillies (optional) lime wedges soured cream ",mexican
"1 large onion 1 garlic clove 2 tbsp olive oil 500g/1lb 2oz minced beef 30g/1oz packet chilli seasoning mix 500ml/18fl oz beef stock (from a stock cube) 1 tbsp tomato purée 400g tin chopped tomatoes 2 tbsp tomato ketchup 400g tin kidney beans, drained and rinsed salt and pepper 350g/12oz brown or white rice ",mexican
"1½ tsp salt ¾ tsp freshly ground black pepper 1 tsp ground cumin 1 onion, peeled and halved 5 garlic cloves, peeled and bashed  1 red chilli, finely chopped 1 green chilli, finely chopped 2 bay leaves 1 tsp dried oregano 2 tbsp fresh lime juice 50ml/2fl oz rapeseed oil 2 blood oranges, juiced, empty halves reserved 500g/1lb 2oz boneless Boston butt or pork shoulder, fat trimmed 250g/9oz heritage tomatoes, finely chopped 1 jalapeño chilli, finely chopped 3 large tomatoes, finely chopped  1 small red onion, finely chopped  1 bunch fresh coriander, finely chopped 1 lime, juice only  30ml/1fl oz molasses 1 tbsp finely chopped flatleaf parsley 1 tbsp finely chopped mint pinch salt  200g/7oz white sweet potato, peeled and cut into chips  ",mexican
"1 tbsp olive oil 1 red onion, thinly sliced 1 red pepper, thinly sliced 1–2 garlic cloves, finely chopped 250g/9oz leftover cooked pork, thinly sliced 1 tsp ground cumin 1 tsp ground coriander ½ tsp chilli powder (add more if you enjoy spicy food) 2 tomatoes, roughly chopped 4 soft wholemeal wraps 4 tbsp soured cream ¼ head iceberg lettuce, finely shredded ¼ cucumber, thinly sliced sea salt and freshly ground black pepper ",mexican
"100g/3½oz cucumber, peeled 4 sushi grade carabinero prawns, peeled, halved and de-veined (head reserved) 4 red chillies 1 guajillo chilli, toasted  2 garlic cloves 1 tbsp hot sauce 1 tbsp Worcestershire sauce 100ml/3½fl oz olive oil 6 limes, juice only salt 1 red onion, thinly sliced 6 limes, juice only ½ tsp Mexican oregano 20g/¾oz butter 500g/1lb 2oz pearl barley 1 avocado, peeled and stone removed, diced 2 tbsp finely chopped fresh coriander 1 tbsp finely chopped fresh dill ",mexican
"12 small soft taco shells  20ml/¾fl oz vegetable oil  1 onion, finely chopped  4 red chillies, finely chopped 3 cascabel chiilies, finely chopped  1 ancho chilli, finely chopped  1 garlic clove, finely chopped 200g tin sweetcorn, drained  2 large tomatoes, deseeded, roughly chopped salt and freshly ground black pepper 2 large chicken breasts (175g/6¼oz each) 200ml/7fl oz crème fraîche 1 free-range egg, beaten 12 large raw prawns, peeled  200g bag corn chips 100ml/3½fl oz vegetable oil 1 green cabbage, very finely shredded 20ml/¾fl oz olive oil  freshly ground black pepper 1 large, under-ripe mango, diced  1 red chilli, diced  1 lime, juice only handful fresh coriander leaves handful fresh mint leaves  splash extra virgin olive oil 2–3 large ripe avocados  ½ lemon, juice only 1 lime, juice only  10 drops Tabasco  salt and freshly ground black pepper ",mexican
"light chicken stock, to poach the chicken 1.5kg/3lb 5oz whole chicken  150ml/5fl oz sunflower or rapeseed oil  1 onion, peeled and finely chopped  3 cloves garlic, peeled and crushed  1 litre/1¾pt  passata  1 tsp tequila 1 tsp caster sugar  pinch salt 2 fresh poblano chillies, seeds removed, sliced (alternatively use green pepper) 10 baby courgettes, finely sliced  6 small soft corn tortillas (or 2 large ones if available) 10 courgette flowers, torn in half 200g/7oz cheddar, grated   200ml/7fl oz double cream  4 courgette flowers 200g/7oz plain flour 300ml/10fl oz sparkling water 1 tsp salt ",mexican
"1 tbsp sunflower oil, plus extra for greasing 100g/3½oz frozen chopped onion (or 1 medium onion, peeled and roughly chopped) 100g/3½oz mixed frozen peppers (or 1 yellow pepper, de-seeded and sliced) 1 x 400g tin chopped tomatoes 1 x 400g tin red kidney beans in chilli sauce 1 tbsp freshly squeezed lime or lemon juice 3 heaped tbsp chopped fresh coriander, plus extra to garnish 4 x 40g/1½oz ready-made flour tortillas  75g/2½oz mature cheddar, coarsely grated salt and freshly ground black pepper ",mexican
"250g/9oz fresh tomatoes, finely chopped 1 small onion, finely chopped 3 mild chillies, finely chopped bunch coriander, finely chopped salt, to taste lime juice, to taste 1 tbsp water ",mexican
"4 mild chillies, finely chopped bunch coriander, chopped 2 tomatoes, finely chopped salt, to taste 1 onion, finely chopped ½ lime, juice only 3 ripe avocados ",mexican
"70g/2½oz lard 225g/8oz plain flour 1½ tsp baking powder 1 tsp salt 150ml/5fl oz warm water  2 tbsp olive oil 1 onion, finely chopped 2 garlic cloves, crushed 1 medium-sized tomato, diced  1 tsp ground cumin  1 red chilli, finely chopped  1 x 400g tin red kidney beans, drained 1 tbsp fresh coriander, finely chopped  100g/3½oz Cheddar, grated salt and freshly ground black pepper 1 corn on the cob  1 onion, finely chopped 2 limes, juice only 1 garlic clove, crushed 2 fresh jalapeño chillies, finely chopped  2 tbsp flat parsley, finely chopped  1 tsp fresh oregano, finely chopped ",mexican
"500g/1lb 2oz dried black beans or pinto beans 1.2 litres/2 pints water 2 tbsp olive oil knob of butter 1 medium onion, chopped 250g/9oz smoked streaky bacon, finely chopped ",mexican
"200g/7oz cherry tomatoes, halved 1 small red onion, chopped 1 red chilli, chopped 1 jalapeño chilli, chopped 4 garlic cloves  100ml/3½fl oz white wine vinegar salt and freshly ground black pepper 1 aubergine, stem removed and cut into finger shapes 1 tbsp extra virgin olive oil 1 tsp salt  ½ tsp black pepper  4 garlic cloves, roughly chopped  4 fresh thyme sprigs  150g/5½oz blanched hazelnuts  2 tbsp unsalted butter 250g/9oz halloumi cheese, cut into slices  200g/7oz natural yoghurt pinch sumac or zatar 6 corn tortillas  2 tbsp chopped fresh flat-leaf parsley leaves 1 lime, cut into wedges ",mexican
"225g/8oz tomatoes, deseeded 1 red onion, peeled and finely chopped or 4 spring onions, trimmed and sliced  finely 1 jalapeno chilli, de-veined, de-seeded and finely chopped  225g/8oz fresh ripe fruit such as melon, mango, papaya, pineapple, peach  large bunch of fresh coriander, chopped roughly  1 lemon, zest and juice (or 2 limes) ",mexican
"2 tbsp olive oil 1 medium onion, sliced 1 clove garlic, chopped 1 tsp dried epazote or oregano ½ –1 habanero chilli, stem and seeds removed, roughly chopped 600ml/20fl oz tomato passata 250g/9oz sardines in olive oil, drained 250ml/9fl oz corn oil, for deep frying 12 small corn tortillas (about15cm/6in tortillas) salt and freshly ground pepper 1 avocado, stone and skin removed, to serve 600g/1lb 5oz black beans, rinsed 2 medium onions, finely chopped 6 garlic cloves, finely chopped 1 bay leaf ½ tsp dried epazote or oregano 35g/1¼oz lard 1 green jalapeno or serrano chilli, finely chopped ½ tsp salt ",mexican
"250g/8¾oz very fresh sea bass fillets 250g/8¾oz very fresh salmon fillets 2 limes, juice only ½ grapefruit, juice and segments only ½ orange, juice only 2 bird's-eye chillies, chopped 3 spring onions, very finely chopped 1 garlic clove, crushed salt and freshly ground black pepper 1 tbsp chopped fresh mint 6 slices French toast ",mexican
"400g/14oz cooked chicken, shredded 1 tsp coriander seeds 1 tsp cumin seeds 200g/7oz drained, tinned red kidney beans, rinsed 4 spring onions, chopped 200g/7oz tin sweetcorn, drained 3 tbsp chipotle paste 8 medium flour tortillas olive oil spray (or a little olive oil) 125g/4½oz reduced-fat mozzarella, grated 125g/4½oz reduced-fat Cheddar, grated sea salt and freshly ground black pepper 2 Little Gem lettuces, leaves separated and halved 70g/2½oz rocket leaves 100g/3½oz cherry tomatoes, halved ½ lime, juice only 2 tbsp extra virgin olive oil light soured cream coriander leaves fresh green jalapeños, sliced (optional) pickled jalapeños, sliced (optional) ",mexican
"1 tsp vegetable oil 4 spring onions, finely sliced 1 red pepper, seeds removed, finely sliced ½ tsp ground cumin ½ tsp smoked paprika 125g/4½oz leftover roast chicken (breast meat, if possible) 2 wholemeal wraps 1 tbsp roughly chopped fresh coriander 1 lime, halved 25g/1oz reduced fat soured cream salt and freshly ground black pepper ",mexican
"1 x 5cm/2in cinnamon stick, broken into pieces 1 tsp cloves 1½ tsp cumin seeds 1 large star anise 2 bay leaves, sliced small bunch fresh rosemary, leaves picked and chopped 1 x 2kg/4lb 8oz mutton leg 2 carrots, roughly chopped 2 onions, roughly chopped 4 large garlic cloves, crushed 2 small ancho chillies (available from online specialists), de-seeded, torn into small pieces 1 chipotle chilli, de-seeded, torn into small pieces 375ml/12½fl oz red wine 1 tbsp redcurrant jelly 1 butternut squash, peeled, trimmed, seeds removed, cut into wedges 2 tbsp olive oil 1 head chard, root trimmed, leaves roughly chopped salt and freshly ground black pepper ",mexican
"1 x 400g/14oz can black beans, drained, rinsed ½ tsp ground cumin ½ tsp dried oregano 1 tsp dried chilli flakes 2 spring onions, trimmed, sliced 1 red pepper, chopped 80g/3oz cheddar, grated salt and freshly ground black pepper 4 x 25cm/10in flour tortillas 1 garlic clove, peeled, cut in half 1 tbsp vegetable oil handful fresh coriander leaves, washed, chopped, plus extra to serve  1 ripe avocado, peeled, stone removed, chopped, plus extra to serve 1 fresh lime, juice only, plus extra lime wedges, to serve pinch salt 2 tbsp pumpkin seeds, shells removed, plus extra to serve ",mexican
"2 tbsp chilli oil 1 tbsp hot chilli powder  1 tbsp paprika  pinch of sugar  zest and juice of 1 lime 4 chicken breasts 4 large tomatoes, deseeded and finely diced 1 red chilli, finely chopped  juice of 1 lime  1 small red onion finely chopped 2 medium ripe avocados, stoned, peeled and finely diced 2 tbsp olive oil 120g/8 tbsp freshly roughly chopped coriander salt and pepper 4-8 medium floured tortillas, warmed  1 small iceberg lettuce, shredded 150ml/¼pt soured cream 8 bamboo skewers, soaked in water overnight ",mexican
"drizzle olive oil 1 large onion, very finely chopped 2 garlic cloves, very finely chopped 2 bay leaves 2 sprigs fresh rosemary, leaves only, very finely chopped 2 tsp ground cumin 1 red chilli, chopped (optional) 1-3 tsp chilli powder, to taste 500g/1lb 2oz lean beef mince 1 x 400g tin chopped tomatoes 1 tbsp clear honey 250ml/9fl oz red wine or beef stock boiled long-grain rice, to serve salt and freshly ground black pepper 1 ripe avocado, skin and stone removed, finely diced ½ red onion, finely diced ¼ cucumber, finely diced ½ lemon, juice only handful roughly chopped fresh coriander leaves (optional), plus extra to serve ",mexican
1 onion 2–3 garlic cloves 2 medium carrots or 1 medium carrot and 1 medium sweet potato 1 red pepper ½ vegetable stock cube 1 x 400g/14oz can red kidney beans 1 tsp vegetable oil 1 tsp chilli powder 1 tsp ground cumin (optional) 1 tsp dried oregano (optional) 1 x 400g/14oz can chopped tomatoes ground black pepper (optional) ,mexican
"3 kale leaves, finely chopped 1 onion, finely chopped 1 green pepper, finely chopped 1 red pepper, finely chopped 1 small bird's eye chilli, finely chopped 1 courgette, finely chopped 1 garlic clove, finely chopped 150ml/5fl oz tomato passata 1 tbsp olive oil knob of butter 8 free-range eggs salt and freshly ground black pepper handful fresh coriander leaves 2 soft flour or corn tortillas, warmed in the oven hot chilli sauce ",mexican
"4 small wholemeal tortillas 200g/7oz very firm tofu, drained 2 tbsp cornflour or easy-cook polenta 2 tbsp extra virgin olive oil or cold pressed rapeseed oil 2 peppers, deseeded and thinly sliced ½ red onion, cut into thin wedges 1 tsp smoked paprika ½ tsp ground cumin ½ tsp ground coriander 50g/1¾oz curly kale, thickly shredded and any tough stalks removed 2 tomatoes, roughly chopped salt and freshly ground black pepper 4 tbsp non-dairy yoghurt fresh coriander, finely chopped lime wedges ",mexican
"1 tbsp olive oil 1 large onion, chopped 2 tsp dried chilli flakes 400g/14oz can kidney beans, drained and rinsed 400g/14oz can chopped tomatoes 150ml/½ pint red wine 2 garlic cloves, crushed 15g/½oz plain chocolate (minimum 70% cocoa solids) roughly chopped salt and freshly ground black pepper 2 x 225g/8oz sirloin steaks 1 tsp olive oil freshly ground black pepper chilli oil to finish serve with 150ml/½ pint sour cream ½ iceberg lettuce, finely shredded hot flour tortillas ",mexican
"300g/10½oz lean beef steak, such as sirloin or rump, visible fat trimmed and cut into thin strips 1½ tbsp extra virgin or sunflower oil 2 yellow peppers, deseeded and thinly sliced 2 red peppers, deseeded and thinly sliced 2 red onions, cut into thin wedges 1 tsp ground cumin 1 tsp ground coriander 1 tsp smoked paprika  400g tin red kidney beans, drained and rinsed  200g/7oz cherry tomatoes, halved 1 long red chilli, finely chopped, or ½ tsp dried chilli flakes 25g/1oz fresh coriander, chopped, plus extra to garnish lime wedges, for squeezing  4 x 40g/1½oz white or wholemeal flour tortillas, warmed, to serve 2 Little Gem lettuces, trimmed and shredded, to serve 6 tbsp natural yoghurt, to serve sea salt and freshly ground black pepper ",mexican
"1 tsp ground cumin ½ tsp chilli powder ½ tsp dried oregano 2 bavette steaks, about 150g/5½oz  each 1-calorie sunflower oil spray sea salt  4 corn tortilla wraps, 15cm/6in in diameter 1 corn on the cob 1-calorie sunflower oil spray ½ red onion, finely chopped 1 green jalapeño chilli pepper, finely chopped 8 cherry tomatoes, quartered small handful roughly chopped coriander (including stalks) ½ lime, juice only  salt and freshly ground black pepper ½ ripe avocado 50ml/2fl oz reduced fat soured cream ½ lime, juice only salt and freshly ground black pepper ",mexican
"700g/1lb 9oz sweet potatoes (3 medium)  2 x 400g/14oz tins black beans, rinsed and drained  50g/1¾oz walnuts, toasted  2 tsp hot smoked paprika  1 tsp dried mixed herbs  1 tsp garlic powder  1 tsp onion powder  sea salt and freshly ground black pepper  2 tsp chipotle paste  100g/3½oz Dairy-free yoghurt (of 0% fat Greek-style yoghurt) 4 large corn (or wheat) tortillas  100g/3½oz iceberg lettuce, shredded  200g/7oz carrots, peeled and grated  200g/7oz raw beetroot, peeled and grated  1 ripe, small avocado, peeled and quartered ",mexican
"2 tbsp chilli powder, or to taste 2 tbsp ground cumin 1 tbsp sweet paprika 1 tbsp dried oregano 1 tbsp garlic powder 1 tsp onion powder 1 tsp black pepper 1 tsp salt ",mexican
"4 tbsp beef dripping or lard 1kg/2lb 4oz braising steak, cut into large chunks 2 onions, finely chopped 4 garlic cloves, finely chopped 1–3 fresh jalapeño chillies, finely chopped, to taste 2–3 tsp chilli powder, to taste 1 tsp smoked chilli powder, such as chipotle 1 tbsp ground cumin 1 tbsp ground coriander 1 tsp ground cinnamon 1 tbsp dried oregano 2 tbsp light brown sugar 2 tbsp tomato purée 400g tin chopped tomatoes 100ml/3½fl oz strong coffee 500ml/18fl oz stout or porter 3 x 400g tins red kidney, pinto or black beans (a mixture is nice), drained and rinsed salt and freshly ground black pepper fresh chillies, sliced  fresh coriander, chopped  avocado, diced  cheese, grated  soured cream  ",mexican
"2 dried chipotle chillies ¼-½ habanero chilli, to taste generous pinch sea salt flakes 4 tbsp olive oil 1 orange, juice only 2 tsp fresh oregano leaves 2 garlic cloves, roughly chopped 1 large whole chicken, spatchcocked and de-boned, only wing bones left in (ask your butcher to do this for you) large knob of butter 1 onion, finely chopped 2 garlic cloves, finely chopped ½ bunch fresh coriander, stalks chopped, leaves reserved for garnish 2 x 400g tins good-quality Mexican black beans 1 small red chilli, finely chopped, to garnish 4-8 soft tacos handful grated Mexican-style firm cheese, such as Oaxaca (available from specialist cheese shops or online; alternatively, use firm grated mozzarella) 4-8 tbsp ready-made tomato salsa 2 handfuls crisp lettuce such as Iceberg or Romaine lettuce, shredded ",mexican
"3 tomatoes (300g/10½oz), roughly chopped 1 tsp olive oil ½ onion (50g/1¾oz peeled weight), finely chopped pinch chilli flakes or finely chopped fresh red chilli pinch salt and freshly ground black pepper 15g/½oz fresh coriander, chopped (optional) ",mexican
"8 large ripe tomatoes 2 garlic cloves 2–3 tbsp lard 2 onions, sliced 2 chipotles en adobo (available from specialist stores, some supermarkets and online) 1 tsp dried oregano 1 litre/1¾ pints homemade chicken stock 1½ tsp salt 8 turns black peppermill 220g/8oz cooked chicken, shredded (optional) 500ml/1lb 2oz corn oil or vegetable oil, for deep frying 4 corn tortillas cut into 1cm/½in strips 1 avocado, stone and skin removed, diced into 1cm/½in cubes 1 lime, juice only 1½ tsp dried chipotle flakes 75g/2¾oz Lancashire cheese or feta cheese, crumbled 100g/3½oz soured cream small handful fresh coriander, roughly chopped ",mexican
"2 tsp celery salt 1 tbsp dried oregano 1 tsp dried red chilli flakes 1 tsp garlic salt 2 tsp ground cumin 1 tsp smoked paprika 2 limes, finely grated zest and juice only 6 chicken thighs, skin removed 6 tomatoes, halved 1 large red onion, cut into wedges 2 fat red or green chillies 4 garlic cloves, peeled olive oil, for brushing 1 dried chipotle chilli small bunch fresh coriander 2 limes, juice only salt and freshly ground black pepper 3 ripe avocados 3 tbsp soured cream ½ lime, finely grated zest and juice ½ unwaxed lemon, finely grated zest and juice   1 tbsp olive oil 12-18 corn tortillas or flour tortillas (3 per person) soured cream, to taste 200g/7oz Monterey Jack or strong cheddar cheese, grated 1 bunch coriander, finely chopped 1 bunch spring onions, finely chopped ",mexican
"½ very ripe mango, chopped 1 tbsp lemon juice 4 passion fruits, halved 1 large free-range egg 1 large free-range egg yolk 75g/2½oz caster sugar 60g/2¼oz unsalted butter, softened and cut into cubes 50ml/2fl oz double cream 130g/4½oz desiccated coconut 60g/2¼oz caster sugar 180ml/6fl oz full-fat milk ½ tsp flaked sea salt 25g/1oz unsalted butter 1½ tsp vanilla bean paste  8 drops of coconut flavouring (optional) 2 tbsp extra virgin coconut oil  180g/6oz plain flour sunflower oil, for frying ",mexican
